Set	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
(886,498,296)	-0.666666666666667	0	0	0	0	0	1	
(242,963,771)	-0.833333333333333	-0.666666666666667	0	0	0	0.666666666666667	0	
(769,503,94)	-0.666666666666667	-0.333333333333333	-0.833333333333333	0	0	0	0	
(242,963,943)	-0.666666666666667	-0.666666666666667	0	0	0	0.666666666666667	0	
(597,337,354)	0	0	-0.666666666666667	0	0	0	1.33333333333333	
(458,883,32)	-0.5	0	0	0	0	1.66666666666667	0	
(27,3,237)	0	0	-0.666666666666667	0	0	1.33333333333333	0	
(753,468,852)	-0.333333333333333	-1	0	0	0	1	0	
(215,357,3)	0	0	0	0	0.166666666666667	1.66666666666667	0	
(705,685,750)	0	0	-0.333333333333333	0	0	1.33333333333333	1.33333333333333	
(753,468,598)	-0.333333333333333	-0.833333333333333	0	0	0	1	0	
(215,357,237)	0	0	0	0	0.166666666666667	1.33333333333333	0	
(330,337,354)	0	0	-0.833333333333333	0	0.333333333333333	0	1	
(357,3,237)	-0.333333333333333	0	-0.333333333333333	0	0.166666666666667	1.66666666666667	0	
(264,818,688)	-0.666666666666667	0	-0.333333333333333	0	0	0	0	
(494,337,354)	0	0	-0.833333333333333	0	0	0	1	
(27,215,357)	0	0	0	0	0.166666666666667	1.33333333333333	0	
(143,19,876)	0	-1	-0.666666666666667	0	0	0	1.33333333333333	
(27,215,3)	0	0	0	0	0	1.33333333333333	0	
(868,62,422)	0	-0.666666666666667	0	0	0	0	0	
(27,215,237)	0	0	0	0	0	1	0	
(419,642,441)	-0.333333333333333	0	-0.333333333333333	0	0.166666666666667	0	1	
(419,642,952)	-0.666666666666667	0	-0.666666666666667	0	0.166666666666667	0	1.33333333333333	
(419,642,899)	-0.666666666666667	0	-0.666666666666667	0	0.166666666666667	0	1	
(101,908,693)	-0.5	0	-0.666666666666667	0	0	0	0	
(128,57,977)	-0.666666666666667	0	0	0	0	0	0	
(655,762,944)	0	-0.666666666666667	0	0.333333333333333	0	0	1	
(101,908,130)	-0.5	0	-0.666666666666667	0	0	0	0	
(995,771,943)	-0.5	-1	0	0	0	1	0	
(753,598,852)	-0.666666666666667	-0.833333333333333	0	0	0	1	0	
(476,29,458)	-0.333333333333333	0	-0.666666666666667	0	0	0	1.66666666666667	
(949,755,828)	0	-1	-0.833333333333333	0	0	0	0	
(963,771,943)	-0.666666666666667	-1	0	0	0	1	0	
(476,29,512)	0	0	-1	0	0	0	1.66666666666667	
(949,755,731)	0	-1	-0.833333333333333	0	0	0	0	
(315,721,432)	0	-1	0	0	0	0	1	
(315,721,184)	0	-0.666666666666667	0	0	0	0	1.16666666666667	
(995,963,943)	-0.333333333333333	-1	0	0	0	1	0	
(995,963,771)	-0.5	-1	0	0	0	1	0	
(952,441,899)	-0.666666666666667	0	-0.666666666666667	0	0	0	1.33333333333333	
(857,57,977)	-1	0	0	0	0	0	0	
(721,432,184)	0	-0.666666666666667	0	0	0	0	1.16666666666667	
(496,102,71)	-0.333333333333333	-1	0	0	0.333333333333333	0	0	
(27,357,237)	-0.333333333333333	0	-0.666666666666667	0	0.166666666666667	1.33333333333333	0	
(27,357,3)	-0.333333333333333	0	-0.333333333333333	0	0.166666666666667	1.66666666666667	0	
